Slide,Slide tittle,Slide Subtittle,Layout,Chart Tittle,CDR source,KPI,Chart type,Legend,Filters,Grouping_Rows,Grouping_Columns
1,2025 Q4 Net check UK,"NSA CDR analysis\nBelfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title Page,,,,Title Slide,,,,
2,Executive Summary,,Title Only,,,,Transition Slide,,,,
3,Completed Call Ratio,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 1 column + Comments,,CDR-Voice,Call_Status,100% Stacked Vertical Bars,,"Call Family IN (VoLTE, MultiRAB, WhatsApp); Operator IN (Vodafone UK, 3, EE)",Call Family,Operator × Campaign
4,Voice failures per Q/city,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 1 column + Comments,,CDR-Voice,Call_Status,Count Stacked Horizontal Bars,,"Call Family IN (VoLTE, MultiRAB, WhatsApp); Call_Status IN (Failed, Dropped)",Call Family × G Level 4,Operator × Campaign
5,Data failure,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 rows + Comments right,,CDR-Data,Test_Result,100% Stacked Vertical Bars,,"Test Family IN (httpBrowser, htttpBrowser, httpTransfer, YouTube, VideoStreaming)",Type_of_Test,Operator × Campaign
5,Data failure,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 rows + Comments right,,CDR-Data,Test_Result,100% Stacked Vertical Bars,,Test_Name CONTAINS FDFS,Type_of_Test,Operator × Campaign
6,Data failures - FDFS test,"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 1 column + Comments,,CDR-Data,Test_Result,100% Stacked Vertical Bars,,Test_Name CONTAINS FDFS,Test Family × Test Name × Direction,Operator × Campaign
7,POLQA AVG MOS (Multirab&volte),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Speech,LQ,CDF Line,,"Call_Status = Completed; Call Family IN (VoLTE, MultiRAB); Operator IN (Vodafone UK, 3, EE)",Operator,Campaign
7,POLQA AVG MOS (Multirab&volte),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 2 columns + Comments,,CDR-Speech,LQ,Average Vertical Bars,,"Call_Status = Completed; Call Family IN (VoLTE, MultiRAB); Operator IN (Vodafone UK, 3, EE)",Operator,Campaign
8,POLQA AVG MOS (WhatsApp),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 3 columns + Comments,,CDR-Speech,LQ,CDF Line,,"Call_Status = Completed; Call Family = WhatsApp; Operator IN (Vodafone UK, 3, EE)",Operator,Campaign
8,POLQA AVG MOS (WhatsApp),"Belfast, Bristol, Cardiff, Edinburgh, London, Leeds and Sheffield",Title and 3 columns + Comments,,CDR-Speech,LQ,Average Vertical Bars,,"Call_Status = Completed; Call Family = WhatsApp; Operator IN (Vodafone UK, 3, EE)",Operator,Campaign
